target,spec,rmse,mae,mbe,r2,corr,mae_norm,mbe_norm,feat_spec
log_damage,FULL_OOB,1.820820918238525,1.13939173992306,-0.0079205510263926,0.7960799097742399,0.8940782182312456,0.1470973425757248,-0.0010225561296384,BASE
log_damage,LOEO_event_pooled,2.081040184458879,1.391369085224423,-0.1754831597370621,0.7292625602115282,0.8603188970022669,0.1796280311742039,-0.0226551637682193,BASE
log_damage,LOSO_state_pooled,1.981971582731597,1.3004632334418476,-0.0478101979056583,0.7515569703350501,0.8741544499162004,0.1678919365956154,-0.006172374972998,BASE
log_damage,Random_80_20_pooled,1.845933301816923,1.170659695200715,-0.0165865784833886,0.7927141651643511,0.8927084497711316,0.1514952890064244,-0.0021464722081662,BASE
log_damage,FULL_OOB,2.3851332952869333,1.582006131448244,-0.0035908627728272,0.6500944295536047,0.8085051569893796,0.204239586544882,-0.0004635862740874,NO_REPL_COST
log_damage,LOEO_event_pooled,2.678469415573163,1.887989370076394,-0.2548589672341769,0.5515017340557495,0.7511881627192633,0.2437425245580662,-0.0329027107167484,NO_REPL_COST
log_damage,LOSO_state_pooled,2.5953741288240835,1.8095221392512733,-0.0581036731274103,0.5739781123222624,0.7693727203400269,0.2336122763482357,-0.0075012795085804,NO_REPL_COST
log_damage,Random_80_20_pooled,2.401567988248662,1.6040614303908265,-0.0023882647170922,0.6491452283531611,0.8085773968268356,0.207581888210008,-0.000309065781476,NO_REPL_COST
ratio,FULL_OOB,0.09745704272587184,0.06243488966308904,0.00034877389179454904,0.37929376789939995,0.6220689623112164,0.7170179005630538,0.004005406672698528,BASE
ratio,LOEO_event_pooled,0.113474152458632,0.07398540160595217,-0.004085787249675068,0.14707661359917967,0.40223430927012443,0.8496668708485958,-0.0469222034621654,BASE
ratio,LOSO_state_pooled,0.11174272079344816,0.07092304171211765,-0.007609936503010065,0.1505427817033207,0.4380615084316825,0.8144979633083645,-0.08739441559439859,BASE
ratio,Random_80_20_pooled,0.0982657124317416,0.0635999214502995,-0.00021006532549078068,0.3761744949333601,0.6214607240781462,0.7242313086465045,-0.0023920766270179978,BASE
